,Node,in_degree,out_degree,degree,closeness,betweeness,ntweets,nretweets,nfollowers,tweet_type,virality,degree_category,Hashtag,ttweets
6103,kagulucky,1,0,1,0.00022593764121102577,0.0,0.0,1.0,106,retweeter,0.0,5,#BoredApeYatch,1.0
6104,kaylee_marie_,1,0,1,0.00022593764121102577,0.0,0.0,1.0,20,retweeter,0.0,5,#BoredApeYatch,1.0
6105,kaiddeonu,1,0,1,0.00022593764121102577,0.0,0.0,1.0,375,retweeter,0.0,5,#BoredApeYatch,1.0
6106,kawaruika,1,0,1,0.00022593764121102577,0.0,0.0,1.0,111,retweeter,0.0,5,#BoredApeYatch,1.0
6107,kaiyakai01,1,0,1,0.00022593764121102577,0.0,0.0,1.0,96,retweeter,0.0,5,#BoredApeYatch,1.0
6108,kajehaiya,1,0,1,0.00022593764121102577,0.0,0.0,1.0,92,retweeter,0.0,5,#BoredApeYatch,1.0
6109,kamaraharris1,1,0,1,0.00022593764121102577,0.0,0.0,1.0,4,retweeter,0.0,5,#BoredApeYatch,1.0
6110,kinantiananda1,1,0,1,0.00022593764121102577,0.0,0.0,1.0,4498,retweeter,0.0,5,#BoredApeYatch,1.0
6111,keepinforme,1,0,1,0.00022593764121102577,0.0,0.0,1.0,215,retweeter,0.0,5,#BoredApeYatch,1.0
6112,josepedro691,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6113,junaidkarimkhan,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
